"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"not biddable",380,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10080,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10081,"no description",0,0,"99 ending"
"not biddable",169.95,"new","No cellular","None","Black","16/32/64 GB","iPad 1",0,10082,"no description",0,0,"not a 99 ending"
"not biddable",319.85,"refurbished","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10083,"no description",0,0,"not a 99 ending"
"not biddable",329.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",0,10084,"no description",0,0,"99 ending"
"not biddable",249.95,"new","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10085,"no description",0,0,"not a 99 ending"
"not biddable",130,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10086,"contains description",93,6,"not a 99 ending"
"not biddable",550,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,10087,"no description",0,0,"not a 99 ending"
"not biddable",169.98,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 2",0,10088,"contains description",100,6,"not a 99 ending"
"not biddable",149.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 2",1,10089,"contains description",54,3,"99 ending"
"biddable",305,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10090,"no description",0,0,"not a 99 ending"
"biddable",0.01,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10091,"no description",0,0,"not a 99 ending"
"biddable",450,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10092,"no description",0,0,"not a 99 ending"
"not biddable",194.29,"refurbished","No cellular","None","White","16/32/64 GB","iPad mini",0,10093,"contains description",96,15,"not a 99 ending"
"not biddable",193.15,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10094,"no description",0,0,"not a 99 ending"
"biddable",62,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10095,"no description",0,0,"not a 99 ending"
"not biddable",489.99,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10096,"contains description",86,5,"99 ending"
"biddable",99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10097,"no description",0,0,"99 ending"
"biddable",45,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10098,"contains description",25,1,"not a 99 ending"
"not biddable",134.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10099,"contains description",32,5,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10100,"no description",0,0,"99 ending"
"not biddable",264.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10101,"contains description",99,4,"99 ending"
"not biddable",349,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10102,"no description",0,0,"not a 99 ending"
"biddable",160,"used","No cellular","None","Black","16/32/64 GB","iPad mini 2",0,10103,"contains description",37,1,"not a 99 ending"
"not biddable",295,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10104,"contains description",95,4,"not a 99 ending"
"not biddable",199,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",1,10105,"no description",0,0,"99 ending"
"not biddable",279.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10106,"no description",0,0,"not a 99 ending"
"not biddable",149.95,"new","Cellular","Unknown","Black","16/32/64 GB","iPad 1",0,10107,"no description",0,0,"not a 99 ending"
"biddable",290,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10108,"no description",0,0,"not a 99 ending"
"not biddable",339.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10109,"no description",0,0,"99 ending"
"not biddable",99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10110,"contains description",98,3,"99 ending"
"not biddable",320,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10111,"contains description",98,2,"not a 99 ending"
"biddable",255,"refurbished","Cellular","Unknown","Black","16/32/64 GB","iPad mini",0,10112,"no description",0,0,"not a 99 ending"
"biddable",114.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10113,"contains description",98,6,"99 ending"
"biddable",250,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10114,"contains description",100,11,"not a 99 ending"
"not biddable",250,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,10115,"contains description",21,1,"not a 99 ending"
"not biddable",549.99,"used","Cellular","Verizon","Space Gray","16/32/64 GB","iPad Air 1/2",0,10116,"no description",0,0,"99 ending"
"not biddable",215,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,10117,"no description",0,0,"not a 99 ending"
"biddable",325,"used","No cellular","None","Space Gray","128 GB","iPad Air 1/2",1,10118,"no description",0,0,"not a 99 ending"
"biddable",199.99,"new","Cellular","Sprint/T-Mobile","White","16/32/64 GB","iPad Air 1/2",1,10119,"contains description",43,1,"99 ending"
"biddable",250,"used","Cellular","Unknown","White","16/32/64 GB","iPad mini3",0,10120,"no description",0,0,"not a 99 ending"
"not biddable",249.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 4",0,10121,"contains description",98,4,"99 ending"
"not biddable",299.99,"new","Cellular","Unknown","White","16/32/64 GB","iPad mini",0,10122,"no description",0,0,"99 ending"
"biddable",159.99,"new","No cellular","None","White","16/32/64 GB","iPad mini",1,10123,"no description",0,0,"99 ending"
"biddable",9.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10124,"no description",0,0,"99 ending"
"biddable",125,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10125,"no description",0,0,"not a 99 ending"
"not biddable",344,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10126,"contains description",31,1,"not a 99 ending"
"biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10127,"no description",0,0,"not a 99 ending"
"not biddable",250,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,10128,"contains description",21,1,"not a 99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10129,"contains description",14,0,"not a 99 ending"
"biddable",100,"new","Unknown","Unknown","Unknown","Unknown","Unknown",1,10130,"contains description",33,4,"not a 99 ending"
"not biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10131,"no description",0,0,"not a 99 ending"
"not biddable",119.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",0,10132,"contains description",97,3,"99 ending"
"not biddable",225,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",0,10133,"no description",0,0,"not a 99 ending"
"biddable",49.49,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10134,"no description",0,0,"not a 99 ending"
"biddable",225,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 4",0,10135,"no description",0,0,"not a 99 ending"
"not biddable",389.99,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",0,10136,"contains description",96,20,"99 ending"
"biddable",255,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10137,"no description",0,0,"not a 99 ending"
"biddable",25,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10138,"contains description",105,4,"not a 99 ending"
"not biddable",274.99,"refurbished","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10139,"contains description",102,12,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10140,"no description",0,0,"99 ending"
"biddable",185,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10141,"contains description",61,3,"not a 99 ending"
"biddable",250,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10142,"no description",0,0,"not a 99 ending"
"biddable",99,"used","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad mini 2",1,10143,"no description",0,0,"99 ending"
"not biddable",215,"used","Cellular","AT&T","White","16/32/64 GB","iPad 3",0,10144,"contains description",93,4,"not a 99 ending"
"biddable",58,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10145,"no description",0,0,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10146,"contains description",101,4,"not a 99 ending"
"not biddable",189.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10147,"contains description",44,2,"99 ending"
"not biddable",229,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10148,"no description",0,0,"not a 99 ending"
"not biddable",159.93,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 2",0,10149,"contains description",97,2,"not a 99 ending"
"biddable",89.95,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10150,"no description",0,0,"not a 99 ending"
"biddable",60,"refurbished","No cellular","None","White","16/32/64 GB","iPad 2",1,10151,"contains description",99,6,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10152,"contains description",95,7,"99 ending"
"not biddable",639.99,"refurbished","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,10153,"no description",0,0,"99 ending"
"biddable",40,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10154,"contains description",75,0,"not a 99 ending"
"not biddable",284.99,"used","Unknown","Unknown","White","16/32/64 GB","iPad mini3",0,10155,"contains description",40,1,"99 ending"
"biddable",29.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10156,"no description",0,0,"99 ending"
"biddable",49.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10157,"no description",0,0,"99 ending"
"not biddable",139.98,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10158,"contains description",97,4,"not a 99 ending"
"not biddable",199,"used","Unknown","Unknown","Unknown","Unknown","iPad mini",1,10159,"no description",0,0,"99 ending"
"not biddable",294.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10160,"contains description",95,5,"99 ending"
"not biddable",499,"new","Cellular","Sprint/T-Mobile","White","128 GB","iPad mini 2",1,10161,"no description",0,0,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10162,"no description",0,0,"not a 99 ending"
"not biddable",299.99,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10163,"no description",0,0,"99 ending"
"not biddable",270,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10164,"contains description",95,4,"not a 99 ending"
"biddable",80,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10165,"contains description",33,1,"not a 99 ending"
"biddable",0.01,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10166,"no description",0,0,"not a 99 ending"
"not biddable",399.99,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10167,"contains description",40,30,"99 ending"
"not biddable",279.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10168,"no description",0,0,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10169,"no description",0,0,"not a 99 ending"
"not biddable",329,"new","No cellular","None","Black","16/32/64 GB","iPad mini 2",0,10170,"no description",0,0,"not a 99 ending"
"not biddable",187.5,"used","No cellular","None","Black","16/32/64 GB","iPad 3",0,10171,"contains description",100,4,"not a 99 ending"
"not biddable",269,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10172,"no description",0,0,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad mini",1,10173,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,10174,"contains description",55,1,"99 ending"
"biddable",65,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10175,"no description",0,0,"not a 99 ending"
"biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10176,"no description",0,0,"99 ending"
"biddable",149,"new","No cellular","None","White","16/32/64 GB","iPad mini3",1,10177,"no description",0,0,"not a 99 ending"
"not biddable",184.95,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10178,"contains description",99,12,"not a 99 ending"
"biddable",99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10179,"contains description",19,3,"99 ending"
"biddable",225,"used","Cellular","Verizon","White","16/32/64 GB","iPad mini 2",1,10180,"no description",0,0,"not a 99 ending"
"biddable",200,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad Air 1/2",1,10181,"no description",0,0,"not a 99 ending"
"biddable",100,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10182,"no description",0,0,"not a 99 ending"
"not biddable",319,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10183,"contains description",78,1,"not a 99 ending"
"not biddable",15,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10184,"no description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10185,"no description",0,0,"99 ending"
"biddable",99.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10186,"no description",0,0,"99 ending"
"biddable",174.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10187,"no description",0,0,"not a 99 ending"
"not biddable",299,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10188,"contains description",93,4,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10189,"contains description",54,0,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10190,"no description",0,0,"not a 99 ending"
"not biddable",215,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10191,"no description",0,0,"not a 99 ending"
"biddable",62,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10192,"no description",0,0,"not a 99 ending"
"biddable",250,"refurbished","Cellular","Unknown","Black","16/32/64 GB","iPad 3",0,10193,"no description",0,0,"not a 99 ending"
"biddable",100,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 3",1,10194,"contains description",99,0,"not a 99 ending"
"biddable",200,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad 3",0,10195,"no description",0,0,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,10196,"contains description",58,2,"99 ending"
"not biddable",404.99,"new","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10197,"contains description",13,0,"99 ending"
"biddable",0.99,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,10198,"contains description",87,8,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,10199,"contains description",54,2,"not a 99 ending"
"not biddable",89.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10200,"no description",0,0,"99 ending"
"biddable",49.99,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10201,"contains description",46,2,"99 ending"
"biddable",100,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",1,10202,"no description",0,0,"not a 99 ending"
"biddable",79.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10203,"contains description",98,3,"99 ending"
"not biddable",309.99,"used","Unknown","Unknown","Unknown","Unknown","iPad 4",0,10204,"contains description",93,4,"99 ending"
"not biddable",415,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad Air 1/2",1,10205,"contains description",80,5,"not a 99 ending"
"not biddable",200,"used","Cellular","AT&T","White","16/32/64 GB","iPad 2",0,10206,"no description",0,0,"not a 99 ending"
"not biddable",269,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",0,10207,"no description",0,0,"not a 99 ending"
"biddable",184.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10208,"contains description",50,2,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10209,"no description",0,0,"not a 99 ending"
"biddable",165,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10210,"no description",0,0,"not a 99 ending"
"biddable",25,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",1,10211,"no description",0,0,"not a 99 ending"
"not biddable",299,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10212,"contains description",93,4,"99 ending"
"biddable",99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10213,"no description",0,0,"99 ending"
"biddable",99,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10214,"no description",0,0,"99 ending"
"not biddable",374.95,"used","No cellular","None","White","128 GB","iPad Air 1/2",0,10215,"no description",0,0,"not a 99 ending"
"not biddable",189,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10216,"contains description",101,3,"not a 99 ending"
"not biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10217,"no description",0,0,"not a 99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10218,"no description",0,0,"not a 99 ending"
"not biddable",480,"refurbished","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",0,10219,"contains description",100,2,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10220,"contains description",25,0,"99 ending"
"not biddable",465.99,"refurbished","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",0,10221,"contains description",89,6,"99 ending"
"not biddable",399.99,"used","No cellular","None","Unknown","128 GB","iPad 4",0,10222,"contains description",31,1,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10223,"contains description",25,0,"99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10224,"no description",0,0,"not a 99 ending"
